cost,displays,clicks,post_click_conversions,post_click_sales_amount,revenue
-0.24494976909509547,-0.336955591898274,-0.21760696482684955,-0.19073264827308967,-0.19549558544730727,-0.1851059897936465
-0.24491238803758436,-0.3453572590233666,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.22355680977004444,-0.32096971715215195,-0.19489809876458536,-0.19073264827308967,-0.19549558544730727,-0.17549385238696114
0.08249290250232746,0.031332621890581405,-0.07868213715182154,-0.1107454941272597,-0.12170792278202598,0.018371206050780627
-0.22247715687369332,-0.321673640613984,-0.20692043962107817,-0.1813223948441685,-0.18101271007315523,-0.18062469001939
-0.22684634283102462,-0.31147810402164194,-0.20558462397035673,-0.1860275215586291,-0.19360480727709056,-0.18000379320063314
-0.2451102877538198,-0.34569786715005957,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2447232838642927,-0.3443354346432878,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.23709754813202044,-0.322945244286971,-0.20424880831963532,-0.1860275215586291,-0.1921858849181988,-0.17294275409045443
-0.2450839011249884,-0.34569786715005957,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2449409735521517,-0.3455616238993824,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.03270232343258615,0.3935580110243025,-0.0653239806446073,-0.14838650784294438,-0.04165254145932606,-0.12300812476384362
-0.24508610001072437,-0.34560703831627476,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24496076352377524,-0.34390399768281005,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.23876430351987002,-0.3416786912550828,-0.21760696482684955,-0.19073264827308967,-0.19549558544730727,-0.18390408903246153
-0.18928497668953814,-0.11131406156842284,-0.20024136136747103,-0.1766172681297079,-0.1897320065644148,-0.17775751739504825
-0.23374644627043364,-0.332436857417481,-0.21359951787468529,-0.19073264827308967,-0.19549558544730727,-0.1834110539968095
-0.03670429547201395,0.02726803157871229,-0.0826895841039858,-0.044873720124811486,0.03458699619028883,0.010142021690156574
-0.24420654571634462,-0.3442218986010568,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.18496073880803948
-0.24189991457933374,-0.33611542518576476,-0.21627114917612814,-0.19073264827308967,-0.19549558544730727,-0.18460374870961094
-0.2450487189532132,-0.34551620948249,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24511248663955573,-0.34567515994161335,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.23788694811122624,-0.3407931101256812,-0.21359951787468529,-0.1860275215586291,-0.18924186161954237,-0.18056843083482388
-0.24487060920860132,-0.34531184460647424,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24257937027174212,-0.34192847054799097,-0.21627114917612814,-0.19073264827308967,-0.19549558544730727,-0.18293131658660033
-0.2435908577102788,-0.338340731613492,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
